YearWeekISO,ReportingCountry,Denominator,NumberDosesReceived,NumberDosesExported,FirstDose,FirstDoseRefused,SecondDose,DoseAdditional1,DoseAdditional2,DoseAdditional3,DoseAdditional4,DoseAdditional5,UnknownDose,Region,TargetGroup,Vaccine,Population
2021-W40,EL,730902,0,0,5812,0,14573,85,0,0,0,0,0,EL,Age18_24,COM,10678632
2021-W40,EL,1321765,0,0,2241,0,3861,5432,3,1,0,0,0,EL,Age60_69,COM,10678632
2021-W40,EL,1748720,0,0,5357,0,15885,2,0,0,0,0,0,EL,Age<18,COM,10678632
2021-W40,EL,553606,0,0,2479,0,6960,0,0,0,0,0,0,EL,Age10_14,COM,10678632
2021-W40,EL,3366902,0,0,773,0,1268,6,0,0,0,0,0,EL,Age25_49,MOD,10678632
2021-W40,EL,993883,0,0,42,0,47,6,0,0,0,0,0,EL,Age70_79,MOD,10678632
2021-W40,EL,461955,0,0,0,0,0,0,0,0,0,0,0,EL,Age0_4,MOD,10678632
2021-W40,EL,317000,0,0,1,0,332,0,0,0,0,0,0,EL,Age15_17,MOD,10678632
2022-W23,EL,730902,0,0,0,0,0,0,0,0,0,0,0,EL,Age18_24,COMBA.4-,10459782
2022-W23,EL,1321765,0,0,0,0,0,0,0,0,0,0,0,EL,Age60_69,COMBA.4-,10459782
2022-W23,EL,1748720,0,0,0,0,0,0,0,0,0,0,0,EL,Age<18,COMBA.4-,10459782
2022-W23,EL,553606,0,0,0,0,0,0,0,0,0,0,0,EL,Age10_14,COMBA.4-,10459782
2021-W40,EL,3069731,0,0,1091,0,0,2,0,0,0,0,0,EL,1_Age60+,JANSS,10678632
2021-W40,EL,3366902,0,0,2951,0,0,0,0,0,0,0,0,EL,Age25_49,JANSS,10678632
2021-W40,EL,993883,0,0,209,0,0,1,0,0,0,0,0,EL,Age70_79,JANSS,10678632
2021-W40,EL,274955,0,0,0,0,0,0,0,0,0,0,0,EL,HCW,NVXD,10678632
2021-W40,EL,0,0,0,0,0,0,0,0,0,0,0,0,EL,AgeUNK,NVXD,10678632
2021-W40,EL,1543527,0,0,0,0,0,0,0,0,0,0,0,EL,Age50_59,NVXD,10678632
2021-W40,EL,754083,0,0,0,0,0,0,0,0,0,0,0,EL,Age80+,NVXD,10678632
2021-W40,EL,511958,0,0,0,0,0,0,0,0,0,0,0,EL,Age5_9,NVXD,10678632
2021-W40,EL,730902,0,0,0,0,0,0,0,0,0,0,0,EL,Age18_24,COMBA.1,10678632
2021-W40,EL,1321765,0,0,0,0,0,0,0,0,0,0,0,EL,Age60_69,COMBA.1,10678632
2022-W24,EL,993883,0,0,9,0,35,387,1941,0,0,0,0,EL,Age70_79,COM,10459782
2022-W24,EL,461955,0,0,0,0,0,0,0,0,0,0,0,EL,Age0_4,COM,10459782
2022-W24,EL,317000,0,0,21,0,26,64,0,0,0,0,0,EL,Age15_17,COM,10459782
2022-W24,EL,5641331,0,0,2,0,5,23,5,1,0,0,0,EL,1_Age<60,MOD,10459782
2022-W24,EL,730902,0,0,0,0,1,1,0,1,0,0,0,EL,Age18_24,MOD,10459782
2022-W24,EL,511958,0,0,0,0,0,0,0,0,0,0,0,EL,Age5_9,MOD,10459782
2022-W24,EL,8711062,0,0,0,0,0,0,0,0,0,0,0,EL,ALL,AZ,10459782
2022-W24,EL,3069731,0,0,0,0,0,0,0,0,0,0,0,EL,1_Age60+,AZ,10459782
2022-W24,EL,3366902,0,0,0,0,0,0,0,0,0,0,0,EL,Age25_49,AZ,10459782
2022-W24,EL,993883,0,0,0,0,0,0,0,0,0,0,0,EL,Age70_79,AZ,10459782
2021-W41,EL,3069731,0,0,133,0,218,18,0,0,0,0,0,EL,1_Age60+,MOD,10678632
2021-W41,EL,3366902,0,0,717,0,1346,2,0,0,0,0,0,EL,Age25_49,MOD,10678632
2021-W41,EL,993883,0,0,28,0,55,7,0,0,0,0,0,EL,Age70_79,MOD,10678632
2021-W41,EL,461955,0,0,0,0,0,0,0,0,0,0,0,EL,Age0_4,MOD,10678632
2022-W24,EL,274955,0,0,2,0,0,2,0,0,0,0,0,EL,HCW,JANSS,10459782
2022-W24,EL,0,0,0,0,0,0,0,0,0,0,0,0,EL,AgeUNK,JANSS,10459782
2022-W24,EL,1543527,0,0,2,0,0,3,0,0,0,0,0,EL,Age50_59,JANSS,10459782
2022-W24,EL,754083,0,0,3,0,0,13,0,0,0,0,0,EL,Age80+,JANSS,10459782
2022-W24,EL,511958,0,0,0,0,0,0,0,0,0,0,0,EL,Age5_9,JANSS,10459782
2022-W24,EL,730902,0,0,5,0,2,0,0,0,0,0,0,EL,Age18_24,NVXD,10459782
2022-W24,EL,1321765,0,0,4,0,3,0,0,0,0,0,0,EL,Age60_69,NVXD,10459782
2022-W24,EL,1748720,0,0,0,0,0,0,0,0,0,0,0,EL,Age<18,NVXD,10459782
2022-W24,EL,553606,0,0,0,0,0,0,0,0,0,0,0,EL,Age10_14,NVXD,10459782
2022-W24,EL,274955,0,0,0,0,0,0,0,0,0,0,0,EL,HCW,COMBA.1,10459782
2022-W24,EL,0,0,0,0,0,0,0,0,0,0,0,0,EL,AgeUNK,COMBA.1,10459782
2022-W24,EL,461955,0,0,0,0,0,0,0,0,0,0,0,EL,Age0_4,COMBA.1,10459782
2022-W24,EL,317000,0,0,0,0,0,0,0,0,0,0,0,EL,Age15_17,COMBA.1,10459782
2022-W24,EL,5641331,0,0,0,0,0,0,0,0,0,0,0,EL,1_Age<60,COMBA.4-,10459782
2022-W24,EL,730902,0,0,0,0,0,0,0,0,0,0,0,EL,Age18_24,COMBA.4-,10459782
2022-W24,EL,1321765,0,0,0,0,0,0,0,0,0,0,0,EL,Age60_69,COMBA.4-,10459782
2022-W25,EL,8711062,0,0,281,0,826,5780,11833,1,0,0,0,EL,ALL,COM,10459782
2022-W25,EL,3069731,0,0,63,0,229,2662,11410,1,0,0,0,EL,1_Age60+,COM,10459782
2022-W25,EL,3366902,0,0,146,0,358,1988,70,0,0,0,0,EL,Age25_49,COM,10459782
2022-W25,EL,993883,0,0,19,0,50,651,4363,1,0,0,0,EL,Age70_79,COM,10459782
2022-W25,EL,461955,0,0,0,0,0,0,0,0,0,0,0,EL,Age0_4,COM,10459782
2022-W25,EL,0,0,0,0,0,0,0,0,0,0,0,0,EL,AgeUNK,MOD,10459782
2022-W25,EL,1543527,0,0,0,0,0,3,5,0,0,0,0,EL,Age50_59,MOD,10459782
2022-W25,EL,754083,0,0,0,0,0,0,3,0,0,0,0,EL,Age80+,MOD,10459782
2022-W25,EL,511958,0,0,0,0,0,0,0,0,0,0,0,EL,Age5_9,MOD,10459782
2022-W25,EL,8711062,0,0,0,0,0,2,1,0,0,0,0,EL,ALL,AZ,10459782
2022-W25,EL,1321765,0,0,0,0,0,0,1,0,0,0,0,EL,Age60_69,AZ,10459782
2022-W25,EL,1748720,0,0,0,0,0,0,0,0,0,0,0,EL,Age<18,AZ,10459782
2022-W25,EL,553606,0,0,0,0,0,0,0,0,0,0,0,EL,Age10_14,AZ,10459782
2022-W25,EL,274955,0,0,5,0,0,4,0,0,0,0,0,EL,HCW,JANSS,10459782
2022-W25,EL,0,0,0,0,0,0,0,0,0,0,0,0,EL,AgeUNK,JANSS,10459782
2022-W25,EL,5641331,0,0,25,0,28,0,0,0,0,0,0,EL,1_Age<60,NVXD,10459782
2022-W25,EL,730902,0,0,5,0,3,0,0,0,0,0,0,EL,Age18_24,NVXD,10459782
2022-W25,EL,1321765,0,0,3,0,7,0,0,0,0,0,0,EL,Age60_69,NVXD,10459782
2022-W25,EL,1748720,0,0,0,0,0,0,0,0,0,0,0,EL,Age<18,NVXD,10459782
2022-W25,EL,3069731,0,0,0,0,0,0,0,0,0,0,0,EL,1_Age60+,COMBA.1,10459782
2022-W26,EL,553606,0,0,30,0,71,4,0,0,0,0,0,EL,Age10_14,COM,10459782
2022-W26,EL,274955,0,0,0,0,3,4,6,0,0,0,0,EL,HCW,MOD,10459782
2022-W26,EL,0,0,0,0,0,0,0,0,0,0,0,0,EL,AgeUNK,MOD,10459782
2022-W26,EL,1543527,0,0,0,0,4,15,69,0,0,0,0,EL,Age50_59,MOD,10459782
2022-W26,EL,754083,0,0,0,0,1,2,5,0,0,0,0,EL,Age80+,MOD,10459782
2022-W26,EL,5641331,0,0,36,0,27,0,0,0,0,0,0,EL,1_Age<60,NVXD,10459782
2022-W26,EL,754083,0,0,2,0,1,0,0,0,0,0,0,EL,Age80+,NVXD,10459782
2022-W26,EL,511958,0,0,0,0,0,0,0,0,0,0,0,EL,Age5_9,NVXD,10459782
2021-W47,EL,0,0,0,0,0,0,0,0,0,0,0,0,EL,AgeUNK,AZ,10678632
2021-W47,EL,1543527,0,0,0,0,4,0,0,0,0,0,0,EL,Age50_59,AZ,10678632
2021-W47,EL,754083,0,0,0,0,0,12,0,0,0,0,0,EL,Age80+,AZ,10678632
2021-W47,EL,5641331,0,0,0,0,0,0,0,0,0,0,0,EL,1_Age<60,COMBA.1,10678632
2021-W47,EL,730902,0,0,0,0,0,0,0,0,0,0,0,EL,Age18_24,COMBA.1,10678632
2021-W47,EL,1321765,0,0,0,0,0,0,0,0,0,0,0,EL,Age60_69,COMBA.1,10678632
2021-W47,EL,3069731,0,0,0,0,0,0,0,0,0,0,0,EL,1_Age60+,COMBA.4-,10678632
2021-W47,EL,3366902,0,0,0,0,0,0,0,0,0,0,0,EL,Age25_49,COMBA.4-,10678632
2021-W47,EL,993883,0,0,0,0,0,0,0,0,0,0,0,EL,Age70_79,COMBA.4-,10678632
2021-W47,EL,461955,0,0,0,0,0,0,0,0,0,0,0,EL,Age0_4,COMBA.4-,10678632
2021-W47,EL,317000,0,0,0,0,0,0,0,0,0,0,0,EL,Age15_17,COMBA.4-,10678632
2021-W17,EL,553606,0,0,0,0,0,0,0,0,0,0,0,EL,Age10_14,MOD,10678632
2021-W17,EL,274955,0,0,288,0,14,0,0,0,0,0,0,EL,HCW,AZ,10678632
2021-W17,EL,0,0,0,0,0,0,0,0,0,0,0,0,EL,AgeUNK,AZ,10678632
2021-W48,EL,1543527,0,0,12783,0,8783,98232,5,0,0,0,0,EL,Age50_59,COM,10678632
2021-W48,EL,754083,0,0,11084,0,1898,43419,1,1,0,0,0,EL,Age80+,COM,10678632
2021-W48,EL,511958,0,0,19,0,2,0,0,0,0,0,0,EL,Age5_9,COM,10678632
2021-W48,EL,8711062,0,0,1544,0,2063,25873,5,1,0,0,0,EL,ALL,MOD,10678632
2021-W48,EL,3069731,0,0,507,0,332,16250,4,1,0,0,0,EL,1_Age60+,MOD,10678632
2021-W48,EL,1748720,0,0,0,0,5,0,0,0,0,0,0,EL,Age<18,MOD,10678632
2021-W48,EL,553606,0,0,0,0,2,0,0,0,0,0,0,EL,Age10_14,MOD,10678632
2021-W48,EL,274955,0,0,0,0,0,0,1,0,0,0,0,EL,HCW,AZ,10678632
2021-W48,EL,0,0,0,0,0,0,0,0,0,0,0,0,EL,AgeUNK,AZ,10678632
2021-W48,EL,1543527,0,0,1,0,2,0,1,0,0,0,0,EL,Age50_59,AZ,10678632
2021-W48,EL,317000,0,0,0,0,0,0,0,0,0,0,0,EL,Age15_17,AZ,10678632
2021-W48,EL,5641331,0,0,12348,0,0,11261,0,0,0,0,0,EL,1_Age<60,JANSS,10678632
2021-W48,EL,730902,0,0,2655,0,0,1735,0,0,0,0,0,EL,Age18_24,JANSS,10678632
2022-W26,EL,8711062,0,0,0,0,0,0,0,0,0,0,0,EL,ALL,COMBA.1,10459782
2021-W17,EL,8711062,0,0,0,0,0,0,0,0,0,0,0,EL,ALL,COMBA.4-,10678632
2021-W48,EL,1321765,0,0,1250,0,0,1239,0,0,0,0,0,EL,Age60_69,JANSS,10678632
2021-W48,EL,1748720,0,0,4,0,0,0,0,0,0,0,0,EL,Age<18,JANSS,10678632
2021-W48,EL,553606,0,0,0,0,0,0,0,0,0,0,0,EL,Age10_14,JANSS,10678632
2021-W48,EL,3366902,0,0,0,0,0,0,0,0,0,0,0,EL,Age25_49,NVXD,10678632
2021-W48,EL,993883,0,0,0,0,0,0,0,0,0,0,0,EL,Age70_79,NVXD,10678632
2021-W48,EL,461955,0,0,0,0,0,0,0,0,0,0,0,EL,Age0_4,NVXD,10678632
2021-W48,EL,5641331,0,0,0,0,0,0,0,0,0,0,0,EL,1_Age<60,COMBA.1,10678632
2021-W48,EL,754083,0,0,0,0,0,0,0,0,0,0,0,EL,Age80+,COMBA.1,10678632
2021-W48,EL,511958,0,0,0,0,0,0,0,0,0,0,0,EL,Age5_9,COMBA.1,10678632
2021-W48,EL,8711062,0,0,0,0,0,0,0,0,0,0,0,EL,ALL,COMBA.4-,10678632
2021-W48,EL,3069731,0,0,0,0,0,0,0,0,0,0,0,EL,1_Age60+,COMBA.4-,10678632
2021-W49,EL,1748720,0,0,0,0,3,0,0,0,0,0,0,EL,Age<18,MOD,10678632
2021-W49,EL,553606,0,0,0,0,1,0,0,0,0,0,0,EL,Age10_14,MOD,10678632
2021-W49,EL,274955,0,0,0,0,0,0,0,0,0,0,0,EL,HCW,AZ,10678632
2021-W49,EL,993883,0,0,1,0,1,8,0,0,0,0,0,EL,Age70_79,AZ,10678632
2022-W26,EL,3069731,0,0,0,0,0,0,0,0,0,0,0,EL,1_Age60+,COMBA.1,10459782
2021-W49,EL,461955,0,0,0,0,0,0,0,0,0,0,0,EL,Age0_4,AZ,10678632
2021-W49,EL,317000,0,0,0,0,0,0,0,0,0,0,0,EL,Age15_17,AZ,10678632
2021-W49,EL,5641331,0,0,9718,0,0,12353,0,0,0,0,0,EL,1_Age<60,JANSS,10678632
2021-W49,EL,730902,0,0,2266,0,0,2130,0,0,0,0,0,EL,Age18_24,JANSS,10678632
2021-W49,EL,511958,0,0,0,0,0,0,0,0,0,0,0,EL,Age5_9,JANSS,10678632
2021-W49,EL,0,0,0,0,0,0,0,0,0,0,0,0,EL,AgeUNK,COMBA.1,10678632
2022-W27,EL,1748720,0,0,139,0,169,114,0,0,0,0,0,EL,Age<18,COM,10459782
2022-W27,EL,553606,0,0,43,0,63,2,0,0,0,0,0,EL,Age10_14,COM,10459782
2022-W27,EL,274955,0,0,0,0,2,4,5,0,0,0,0,EL,HCW,MOD,10459782
2022-W27,EL,993883,0,0,0,0,0,1,74,0,0,0,0,EL,Age70_79,MOD,10459782
2022-W27,EL,461955,0,0,0,0,0,0,0,0,0,0,0,EL,Age0_4,MOD,10459782
2022-W27,EL,0,0,0,0,0,0,0,0,0,0,0,0,EL,AgeUNK,NVXD,10459782
2022-W27,EL,1543527,0,0,8,0,1,0,0,0,0,0,0,EL,Age50_59,NVXD,10459782
2022-W27,EL,754083,0,0,1,0,1,0,0,0,0,0,0,EL,Age80+,NVXD,10459782
2022-W27,EL,511958,0,0,0,0,0,0,0,0,0,0,0,EL,Age5_9,NVXD,10459782
2022-W27,EL,8711062,0,0,0,0,0,0,0,0,0,0,0,EL,ALL,COMBA.1,10459782
2022-W27,EL,1321765,0,0,0,0,0,0,0,0,0,0,0,EL,Age60_69,COMBA.1,10459782
2022-W27,EL,1748720,0,0,0,0,0,0,0,0,0,0,0,EL,Age<18,COMBA.1,10459782
2022-W27,EL,553606,0,0,0,0,0,0,0,0,0,0,0,EL,Age10_14,COMBA.1,10459782
2022-W27,EL,274955,0,0,0,0,0,0,0,0,0,0,0,EL,HCW,COMBA.4-,10459782
2022-W27,EL,0,0,0,0,0,0,0,0,0,0,0,0,EL,AgeUNK,COMBA.4-,10459782
2022-W27,EL,461955,0,0,0,0,0,0,0,0,0,0,0,EL,Age0_4,COMBA.4-,10459782
2022-W27,EL,317000,0,0,0,0,0,0,0,0,0,0,0,EL,Age15_17,COMBA.4-,10459782
2022-W28,EL,5641331,0,0,344,0,810,4116,7481,0,0,0,0,EL,1_Age<60,COM,10459782
2022-W28,EL,1321765,0,0,22,0,57,769,8221,0,0,0,0,EL,Age60_69,COM,10459782
2022-W28,EL,3069731,0,0,0,0,2,20,686,0,0,0,0,EL,1_Age60+,MOD,10459782
2022-W28,EL,3366902,0,0,1,0,12,71,132,0,0,0,0,EL,Age25_49,MOD,10459782
2022-W28,EL,993883,0,0,0,0,0,6,357,0,0,0,0,EL,Age70_79,MOD,10459782
2022-W28,EL,461955,0,0,0,0,0,0,0,0,0,0,0,EL,Age0_4,MOD,10459782
2022-W28,EL,317000,0,0,0,0,0,0,0,0,0,0,0,EL,Age15_17,MOD,10459782
2022-W28,EL,1543527,0,0,0,0,1,0,0,0,0,0,0,EL,Age50_59,AZ,10459782
2022-W28,EL,754083,0,0,0,0,0,0,0,0,0,0,0,EL,Age80+,AZ,10459782
2022-W28,EL,511958,0,0,0,0,0,0,0,0,0,0,0,EL,Age5_9,AZ,10459782
2022-W28,EL,8711062,0,0,105,0,0,225,1,0,0,0,0,EL,ALL,JANSS,10459782
2022-W28,EL,0,0,0,0,0,0,0,0,0,0,0,0,EL,AgeUNK,NVXD,10459782
2022-W28,EL,1543527,0,0,7,0,2,0,0,0,0,0,0,EL,Age50_59,NVXD,10459782
2022-W28,EL,317000,0,0,1,0,0,0,0,0,0,0,0,EL,Age15_17,NVXD,10459782
2022-W28,EL,5641331,0,0,0,0,0,0,0,0,0,0,0,EL,1_Age<60,COMBA.1,10459782
2022-W28,EL,730902,0,0,0,0,0,0,0,0,0,0,0,EL,Age18_24,COMBA.1,10459782
2022-W28,EL,1321765,0,0,0,0,0,0,0,0,0,0,0,EL,Age60_69,COMBA.1,10459782
2021-W44,EL,5641331,0,0,1929,0,1129,57,1,0,0,0,0,EL,1_Age<60,MOD,10678632
2021-W44,EL,730902,0,0,2,0,261,5,0,0,0,0,0,EL,Age18_24,MOD,10678632
2021-W44,EL,1321765,0,0,191,0,131,31,0,0,0,0,0,EL,Age60_69,MOD,10678632
2021-W44,EL,8711062,0,0,4,0,183,19,0,0,0,0,0,EL,ALL,AZ,10678632
2022-W29,EL,511958,0,0,38,0,30,0,0,0,0,0,0,EL,Age5_9,COM,10459782
2022-W29,EL,8711062,0,0,0,0,7,37,288,0,0,0,0,EL,ALL,MOD,10459782
2022-W29,EL,3069731,0,0,0,0,1,10,168,0,0,0,0,EL,1_Age60+,MOD,10459782
2022-W29,EL,3366902,0,0,0,0,2,20,51,0,0,0,0,EL,Age25_49,MOD,10459782
2022-W29,EL,274955,0,0,13,0,3,0,0,0,0,0,0,EL,HCW,NVXD,10459782
2022-W29,EL,993883,0,0,1,0,2,0,0,0,0,0,0,EL,Age70_79,NVXD,10459782
2022-W29,EL,461955,0,0,0,0,0,0,0,0,0,0,0,EL,Age0_4,NVXD,10459782
2022-W29,EL,317000,0,0,0,0,1,0,0,0,0,0,0,EL,Age15_17,NVXD,10459782
2022-W29,EL,5641331,0,0,0,0,0,0,0,0,0,0,0,EL,1_Age<60,COMBA.1,10459782
2022-W29,EL,730902,0,0,0,0,0,0,0,0,0,0,0,EL,Age18_24,COMBA.1,10459782
2022-W29,EL,511958,0,0,0,0,0,0,0,0,0,0,0,EL,Age5_9,COMBA.1,10459782
2021-W44,EL,553606,0,0,0,0,0,0,0,0,0,0,0,EL,Age10_14,NVXD,10678632
2021-W44,EL,274955,0,0,0,0,0,0,0,0,0,0,0,EL,HCW,COMBA.1,10678632
2021-W44,EL,0,0,0,0,0,0,0,0,0,0,0,0,EL,AgeUNK,COMBA.1,10678632
2022-W29,EL,8711062,0,0,0,0,0,0,0,0,0,0,0,EL,ALL,COMBA.4-,10459782
2022-W29,EL,3069731,0,0,0,0,0,0,0,0,0,0,0,EL,1_Age60+,COMBA.4-,10459782
2022-W29,EL,3366902,0,0,0,0,0,0,0,0,0,0,0,EL,Age25_49,COMBA.4-,10459782
2022-W29,EL,993883,0,0,0,0,0,0,0,0,0,0,0,EL,Age70_79,COMBA.4-,10459782
2022-W30,EL,274955,0,0,19,0,43,145,553,0,0,0,0,EL,HCW,COM,10459782
2022-W30,EL,0,0,0,0,0,0,0,0,0,0,0,0,EL,AgeUNK,COM,10459782
2021-W45,EL,3069731,0,0,10182,0,5769,117347,9,1,0,0,0,EL,1_Age60+,COM,10678632
2021-W45,EL,3366902,0,0,33773,0,14329,32393,3,0,0,0,0,EL,Age25_49,COM,10678632
2021-W45,EL,993883,0,0,2751,0,1577,58460,2,1,0,0,0,EL,Age70_79,COM,10678632
2021-W45,EL,461955,0,0,0,0,0,0,0,0,0,0,0,EL,Age0_4,COM,10678632
2021-W45,EL,317000,0,0,6201,0,4236,7,0,0,0,0,0,EL,Age15_17,COM,10678632
2021-W45,EL,5641331,0,0,3128,0,1121,109,0,0,0,0,0,EL,1_Age<60,MOD,10678632
2021-W45,EL,754083,0,0,64,0,29,35,0,0,0,0,0,EL,Age80+,MOD,10678632
2021-W45,EL,511958,0,0,0,0,0,0,0,0,0,0,0,EL,Age5_9,MOD,10678632
2022-W30,EL,1543527,0,0,54,0,108,743,2673,0,0,0,0,EL,Age50_59,COM,10459782
2022-W30,EL,754083,0,0,29,0,36,687,4123,0,0,0,0,EL,Age80+,COM,10459782
2022-W30,EL,511958,0,0,32,0,40,0,0,0,0,0,0,EL,Age5_9,COM,10459782
2022-W30,EL,730902,0,0,0,0,0,1,0,0,0,0,0,EL,Age18_24,MOD,10459782
2022-W30,EL,1321765,0,0,0,0,1,5,78,0,0,0,0,EL,Age60_69,MOD,10459782
2022-W30,EL,1748720,0,0,0,0,0,0,0,0,0,0,0,EL,Age<18,MOD,10459782
2021-W45,EL,1543527,0,0,1416,0,0,2934,0,0,0,0,0,EL,Age50_59,JANSS,10678632
2021-W45,EL,754083,0,0,496,0,0,342,0,0,0,0,0,EL,Age80+,JANSS,10678632
2021-W45,EL,5641331,0,0,0,0,0,0,0,0,0,0,0,EL,1_Age<60,NVXD,10678632
2021-W45,EL,730902,0,0,0,0,0,0,0,0,0,0,0,EL,Age18_24,NVXD,10678632
2021-W45,EL,1321765,0,0,0,0,0,0,0,0,0,0,0,EL,Age60_69,NVXD,10678632
2021-W45,EL,1748720,0,0,0,0,0,0,0,0,0,0,0,EL,Age<18,NVXD,10678632
2021-W45,EL,553606,0,0,0,0,0,0,0,0,0,0,0,EL,Age10_14,NVXD,10678632
2021-W45,EL,993883,0,0,0,0,0,0,0,0,0,0,0,EL,Age70_79,COMBA.1,10678632
2022-W30,EL,553606,0,0,0,0,0,0,0,0,0,0,0,EL,Age10_14,MOD,10459782
2022-W30,EL,274955,0,0,0,0,0,0,0,0,0,0,0,EL,HCW,AZ,10459782
